Source_File_ID,Source_File_Name,Load_Num,Harvest_Date,Comment
93438245,Soybeans_2092S_113_2025-11-06_151401_15895.grc,3,11/7/2025 8:51,
93336188,Soybeans_1331S_107_2025-11-07_134122_15588.grc,1,11/7/2025 14:20,
93331214,Soybeans_1802_115_2025-11-07_154358_15895.grc,1,11/10/2025 8:00,
93331213,Soybeans_2526_114_2025-11-07_135535_15895.grc,1,11/7/2025 14:36,
93331213,Soybeans_2526_114_2025-11-07_135535_15895.grc,2,11/7/2025 15:42,
93331212,Soybeans_2092S_113_2025-11-06_151401_15895.grc,3,11/7/2025 8:51,
93331211,Corn_CMDC_111_2025-11-05_153230_15895.grc,3,11/6/2025 8:46,
93289173,Soybeans_1331S_107_2025-11-07_134122_15588.grc,1,11/7/2025 14:20,
93223482,Corn_CMDC_111_2025-11-05_153230_15895.grc,3,11/6/2025 8:46,
93223477,Corn_2016W_107_2025-11-04_133926_15895.grc,1,11/4/2025 14:07,
93124627,Soybeans_1315-16_75_2025-09-29_124815_15895.grc,3,10/27/2025 10:01,
93124627,Soybeans_1315-16_75_2025-09-29_124815_15895.grc,5,11/4/2025 16:45,
93123149,Corn_2016W_107_2025-11-04_133926_15895.grc,1,11/4/2025 14:07,
93121018,Corn_2016W_100_2025-11-04_125913_15588.grc,1,11/4/2025 13:40,
93121017,Corn_1793_99_2025-11-03_092832_15588.grc,15,11/3/2025 16:32,
92933583,Corn_2310_98_2025-10-31_100336_15588.grc,12,10/31/2025 15:24,
92933574,Corn_2310_105_2025-10-31_101016_15895.grc,12,10/31/2025 15:24,
92933572,Corn_1334_103_2025-10-27_133003_15895.grc,3,10/27/2025 15:11,
92933571,Soybeans_1314_101_2025-10-22_183253_15895.grc,4,10/23/2025 18:37,
92933570,Soybeans_1315-16_75_2025-09-29_124815_15895.grc,3,10/27/2025 10:01,
92906681,Corn_1402W_97_2025-10-30_123948_15588.grc,5,10/30/2025 16:55,
92906320,Corn_1402W_97_2025-10-30_123948_15588.grc,5,10/30/2025 16:55,
92906320,Corn_1402W_97_2025-10-30_123948_15588.grc,7,10/30/2025 17:46,
92906320,Corn_1402W_97_2025-10-30_123948_15588.grc,8,10/30/2025 17:54,
92905400,Corn_1402W_97_2025-10-30_123948_15588.grc,5,10/30/2025 16:55,
92905400,Corn_1402W_97_2025-10-30_123948_15588.grc,7,10/30/2025 17:46,
92905400,Corn_1402W_97_2025-10-30_123948_15588.grc,8,10/30/2025 17:54,
92723862,Corn_2326_96_2025-10-27_164227_15588.grc,2,10/27/2025 17:20,
92723860,Corn_2322_94_2025-10-27_105725_15588.grc,5,10/27/2025 13:44,
92688504,Soybeans_1314_101_2025-10-22_183253_15895.grc,1,10/22/2025 19:04,
92513625,Soybeans_2642_92_2025-10-22_165633_15588.grc,2,10/22/2025 18:58,
92388642,Soybeans_3070_87_2025-10-13_105034_15895.grc,6,10/13/2025 16:05,
92387958,Soybeans_1308-09N_99_2025-10-21_155104_15895.grc,6,10/21/2025 18:58,
92359519,Soybeans_3651N_86_2025-10-20_172709_15588.grc,1,10/20/2025 18:26,
92337086,Soybeans_3651N_86_2025-10-20_172709_15588.grc,1,10/20/2025 18:26,
92336647,Soybeans_3072_96_2025-10-20_160745_15895.grc,3,10/20/2025 17:24,
92336647,Soybeans_3072_96_2025-10-20_160745_15895.grc,4,10/20/2025 17:29,
92310900,Corn_1405_95_2025-10-17_135839_15895.grc,7,10/17/2025 16:27,
92187863,Corn_1863N_84_2025-10-16_181810_15588.grc,2,10/16/2025 18:56,
92187863,Corn_1863N_84_2025-10-16_181810_15588.grc,3,10/16/2025 19:19,
92007976,Soybeans_3070_87_2025-10-13_105034_15895.grc,6,10/13/2025 16:05,
91929979,Soybeans_2436S_84_2025-10-03_103752_15895.grc,1,10/3/2025 13:13,
91821172,HMC_1806-07_54_2025-09-19_124130_15588.grc,1,9/19/2025 13:28,
91821172,HMC_1806-07_54_2025-09-19_124130_15588.grc,2,9/19/2025 13:41,
91821172,HMC_1806-07_54_2025-09-19_124130_15588.grc,3,9/19/2025 15:04,
91821020,Corn_3029_73_2025-10-09_180821_15588.grc,3,10/9/2025 18:49,
91501849,Soybeans_1863S_83_2025-10-02_103748_15895.grc,11,10/2/2025 17:53,
91501632,Corn_2410_69_2025-09-30_084946_15588.grc,47,10/2/2025 11:33,
91501632,Corn_2410_69_2025-09-30_084946_15588.grc,48,10/2/2025 11:43,
91449450,Soybeans_1402E_82_2025-10-01_170117_15895.grc,2,10/1/2025 17:50,
91429304,Corn_2410_69_2025-09-30_084946_15588.grc,41,10/1/2025 17:18,
91429304,Corn_2410_69_2025-09-30_084946_15588.grc,42,10/1/2025 17:45,
91395405,Corn_2410_69_2025-09-30_084946_15588.grc,21,9/30/2025 18:20,
91392534,Soybeans_2626_80_2025-09-30_183913_15895.grc,1,9/30/2025 19:30,
91392532,Soybeans_2634_79_2025-09-30_181026_15895.grc,1,9/30/2025 18:37,
91392526,HMC_2310_73_2025-09-26_145923_15895.grc,2,9/26/2025 16:10,
91392523,HMC_2416_69_2025-09-24_160053_15895.grc,19,9/25/2025 17:46,
91392517,Corn_2307-08W_62_2025-09-22_145412_15895.grc,1,9/22/2025 15:08,
91392513,HMC_1806-07_58_2025-09-19_124833_15895.grc,1,9/19/2025 13:58,
91390164,Soybeans_2626_80_2025-09-30_183913_15895.grc,1,9/30/2025 19:30,
91390162,Soybeans_2634_79_2025-09-30_181026_15895.grc,1,9/30/2025 18:37,
91390155,HMC_2310_73_2025-09-26_145923_15895.grc,2,9/26/2025 16:10,
91390145,HMC_2416_69_2025-09-24_160053_15895.grc,19,9/25/2025 17:46,
91389007,Soybeans_2626_80_2025-09-30_183913_15895.grc,1,9/30/2025 19:30,
91389006,Soybeans_2634_79_2025-09-30_181026_15895.grc,1,9/30/2025 18:37,
91388999,HMC_2310_73_2025-09-26_145923_15895.grc,2,9/26/2025 16:10,
91388995,HMC_2416_69_2025-09-24_160053_15895.grc,19,9/25/2025 17:46,
91388993,Corn_3651S_67_2025-09-24_100628_15895.grc,5,9/24/2025 12:09,
91388992,Corn_2309_66_2025-09-22_164047_15895.grc,6,9/24/2025 12:45,
91388988,Corn_2307-08W_62_2025-09-22_145412_15895.grc,1,9/22/2025 15:08,
91388983,HMC_1806-07_58_2025-09-19_124833_15895.grc,1,9/19/2025 13:58,
91387841,Corn_2410_69_2025-09-30_084946_15588.grc,21,9/30/2025 18:20,
91360268,Soybeans_3516_77_2025-09-30_125030_15895.grc,1,9/30/2025 13:08,
91360264,HMC_2310_73_2025-09-26_145923_15895.grc,2,9/26/2025 16:10,
91360261,HMC_2416_69_2025-09-24_160053_15895.grc,19,9/25/2025 17:46,
91360259,Corn_3651S_67_2025-09-24_100628_15895.grc,5,9/24/2025 12:09,
91324536,Corn_2092N_68_2025-09-29_110713_15588.grc,3,9/29/2025 13:33,
91324536,Corn_2092N_68_2025-09-29_110713_15588.grc,6,9/29/2025 15:44,
91234822,HMC_2416_69_2025-09-24_160053_15895.grc,19,9/25/2025 17:46,
91234822,HMC_2416_69_2025-09-24_160053_15895.grc,23,9/26/2025 11:58,
91234820,Corn_3651S_67_2025-09-24_100628_15895.grc,5,9/24/2025 12:09,
91212122,Corn_2416_65_2025-09-24_155610_15588.grc,19,9/25/2025 16:59,
91212122,Corn_2416_65_2025-09-24_155610_15588.grc,20,9/25/2025 17:28,
91187991,Corn_2307-08W_62_2025-09-22_145412_15895.grc,1,9/22/2025 15:08,
91187974,HMC_1806-07_58_2025-09-19_124833_15895.grc,1,9/19/2025 13:58,
91187799,HMC_2416_69_2025-09-24_160053_15895.grc,5,9/24/2025 18:56,
91187797,Corn_3651S_67_2025-09-24_100628_15895.grc,5,9/24/2025 12:09,
91187796,Corn_2309_66_2025-09-22_164047_15895.grc,6,9/24/2025 12:45,
91181409,Corn_2416_65_2025-09-24_155610_15588.grc,5,9/24/2025 18:33,
91181409,Corn_2416_65_2025-09-24_155610_15588.grc,6,9/24/2025 18:39,
91121778,Corn_2309_66_2025-09-22_164047_15895.grc,3,9/22/2025 18:21,
91121778,Corn_2309_66_2025-09-22_164047_15895.grc,5,9/22/2025 19:05,
91121775,Corn_2307-08W_62_2025-09-22_145412_15895.grc,1,9/22/2025 15:08,
91121771,HMC_1806-07_58_2025-09-19_124833_15895.grc,1,9/19/2025 13:58,
91116875,HMC_1806-07_58_2025-09-19_124833_15895.grc,1,9/19/2025 13:58,
91098892,HMC_1806-07_58_2025-09-19_124833_15895.grc,1,9/19/2025 13:58,
91068584,HMC_1806-07_54_2025-09-19_124130_15588.grc,1,9/19/2025 13:28,
91068584,HMC_1806-07_54_2025-09-19_124130_15588.grc,2,9/19/2025 13:41,
91068584,HMC_1806-07_54_2025-09-19_124130_15588.grc,3,9/19/2025 15:04,
90957596,HMC_1912_43_2025-09-12_112708_15588.grc,8,9/12/2025 16:24,
90942598,Corn_3031N_51_2025-09-11_133903_15895.grc,2,9/11/2025 15:47,
90921859,Corn_3031N_51_2025-09-11_133903_15895.grc,2,9/11/2025 15:47,
90921859,Corn_3031N_51_2025-09-11_133903_15895.grc,3,9/11/2025 16:36,
90904360,HMC_1912_43_2025-09-12_112708_15588.grc,8,9/12/2025 16:24,
90904334,HMC_1912_43_2025-09-12_112708_15588.grc,8,9/12/2025 16:24,
90895470,HMC_1912_43_2025-09-12_112708_15588.grc,1,9/12/2025 12:00,
90895470,HMC_1912_43_2025-09-12_112708_15588.grc,2,9/12/2025 12:42,
90892902,HMC_1912_52_2025-09-12_112122_15895.grc,1,9/12/2025 11:37,
90892902,HMC_1912_52_2025-09-12_112122_15895.grc,2,9/12/2025 12:22,
90892901,Corn_3031N_51_2025-09-11_133903_15895.grc,2,9/11/2025 15:47,
90892901,Corn_3031N_51_2025-09-11_133903_15895.grc,3,9/11/2025 16:36,
79401842,Soybeans_1335_46_2024-10-25_151842_15895.grc,1,10/25/2024 16:04,
79401842,Soybeans_1335_46_2024-10-25_151842_15895.grc,2,10/25/2024 16:34,
79401842,Soybeans_1335_46_2024-10-25_151842_15895.grc,3,10/28/2024 8:08,
79401841,Corn_1403_45_2024-10-24_153337_15895.grc,2,10/24/2024 16:04,
79401838,Corn_1802_43_2024-10-24_103449_15895.grc,2,10/24/2024 11:36,
79284906,Corn_1403_45_2024-10-24_153337_15895.grc,2,10/24/2024 16:04,
79284904,Corn_1802_43_2024-10-24_103449_15895.grc,2,10/24/2024 11:36,
79211404,Corn_1331S_35_2024-10-23_171551_15588.grc,2,10/24/2024 7:56,
79207620,Corn_1331S_42_2024-10-23_173206_15895.grc,1,10/23/2024 17:38,
79207619,Corn_2665_41_2024-10-23_162546_15895.grc,1,10/23/2024 16:33,
79207619,Corn_2665_41_2024-10-23_162546_15895.grc,2,10/23/2024 16:56,
79207618,Corn_2634_40_2024-10-23_151026_15895.grc,1,10/23/2024 15:31,
79207611,Corn_2635_38_2024-10-23_121421_15895.grc,3,10/23/2024 13:36,
79133439,Corn_3514_36_2024-10-22_131224_15895.grc,8,10/22/2024 18:17,
79133439,Corn_3514_36_2024-10-22_131224_15895.grc,9,10/23/2024 7:56,
79064641,Soybeans_2016W_35_2024-10-21_153927_15895.grc,1,10/21/2024 16:12,
79064640,Soybeans_2015S_34_2024-10-21_112921_15895.grc,1,10/21/2024 12:04,
79064639,Corn_1312_33_2024-10-18_171928_15895.grc,2,10/21/2024 9:13,
79064626,Corn_2436S_24_2024-10-15_144049_15895.grc,7,10/17/2024 14:18,
79064210,Soybeans_2016W_35_2024-10-21_153927_15895.grc,1,10/21/2024 16:12,
79064208,Soybeans_2015S_34_2024-10-21_112921_15895.grc,1,10/21/2024 12:04,
78848718,Corn_3031_25_2024-10-17_120448_15588.grc,2,10/17/2024 12:50,
78848718,Corn_3031_25_2024-10-17_120448_15588.grc,3,10/17/2024 13:10,
78848718,Corn_3031_25_2024-10-17_120448_15588.grc,4,10/17/2024 13:24,
78817397,Corn_2436S_24_2024-10-15_144049_15895.grc,3,10/15/2024 16:03,
78817384,Soybeans_1402W_22_2024-10-07_175232_15895.grc,1,10/7/2024 18:02,
78817384,Soybeans_1402W_22_2024-10-07_175232_15895.grc,2,10/7/2024 18:33,
78817384,Soybeans_1402W_22_2024-10-07_175232_15895.grc,3,10/7/2024 19:03,
78817384,Soybeans_1402W_22_2024-10-07_175232_15895.grc,4,10/7/2024 19:14,
78817383,Soybeans_2307-08W_21_2024-10-07_151302_15895.grc,6,10/7/2024 17:12,
78817383,Soybeans_2307-08W_21_2024-10-07_151302_15895.grc,7,10/7/2024 17:27,
78817372,Soybeans_1308.09S_16_2024-10-01_182728_15895.grc,1,10/1/2024 18:56,
78817372,Soybeans_1308.09S_16_2024-10-01_182728_15895.grc,2,10/1/2024 19:19,
78817372,Soybeans_1308.09S_16_2024-10-01_182728_15895.grc,3,10/2/2024 8:01,
78817371,Soybeans_1861_14_2024-10-01_152713_15895.grc,1,10/1/2024 16:16,
78817369,Soybeans_1793_12_2024-09-30_122522_15895.grc,7,9/30/2024 15:41,
78817369,Soybeans_1793_12_2024-09-30_122522_15895.grc,9,9/30/2024 16:43,
78817369,Soybeans_1793_12_2024-09-30_122522_15895.grc,18,10/1/2024 9:59,
78817364,Corn_1314_7_2024-09-26_171301_15895.grc,1,9/26/2024 17:37,
78817364,Corn_1314_7_2024-09-26_171301_15895.grc,2,9/26/2024 18:01,
78803917,Corn_2541_23_2024-10-16_161123_15588.grc,2,10/16/2024 17:33,
78803917,Corn_2541_23_2024-10-16_161123_15588.grc,4,10/16/2024 18:28,
78759672,Corn_2436S_21_2024-10-15_132042_15588.grc,5,10/15/2024 15:44,
78759672,Corn_2436S_21_2024-10-15_132042_15588.grc,6,10/15/2024 16:14,
78759672,Corn_2436S_21_2024-10-15_132042_15588.grc,7,10/15/2024 16:41,
78759672,Corn_2436S_21_2024-10-15_132042_15588.grc,8,10/16/2024 9:42,
78658236,Soybeans_1401_17_2024-10-14_141456_15588.grc,1,10/14/2024 14:38,
78642116,Soybeans_2436N_15_2024-10-11_093047_15588.grc,12,10/11/2024 16:31,
78642115,Soybeans_1860_14_2024-10-10_171909_15588.grc,1,10/11/2024 8:30,
78642113,Soybeans_1863N_13_2024-10-10_132045_15588.grc,8,10/10/2024 16:56,
78642113,Soybeans_1863N_13_2024-10-10_132045_15588.grc,9,10/10/2024 17:12,
78642106,Soybeans_2310_9_2024-10-04_115032_15588.grc,10,10/4/2024 16:51,
78642106,Soybeans_2310_9_2024-10-04_115032_15588.grc,11,10/4/2024 17:11,
78642105,Corn_1801_8_2024-10-03_145813_15588.grc,6,10/4/2024 9:13,
78642105,Corn_1801_8_2024-10-03_145813_15588.grc,9,10/4/2024 10:20,
78642102,Soybeans_2311_5_2024-10-02_180103_15588.grc,2,10/2/2024 19:00,
78642100,Soybeans_1405_3_2024-10-02_132325_15588.grc,5,10/2/2024 16:05,
78642099,Soybeans_1308-09S_2_2024-10-02_104912_15588.grc,6,10/14/2024 11:52,
78084648,Soybeans_1308.09S_16_2024-10-01_182728_15895.grc,1,10/1/2024 18:56,
78084648,Soybeans_1308.09S_16_2024-10-01_182728_15895.grc,2,10/1/2024 19:19,
78084648,Soybeans_1308.09S_16_2024-10-01_182728_15895.grc,3,10/2/2024 8:01,
78084647,Soybeans_1861_14_2024-10-01_152713_15895.grc,1,10/1/2024 16:16,
78084645,Soybeans_1793_12_2024-09-30_122522_15895.grc,7,9/30/2024 15:41,
78084645,Soybeans_1793_12_2024-09-30_122522_15895.grc,9,9/30/2024 16:43,
78084645,Soybeans_1793_12_2024-09-30_122522_15895.grc,18,10/1/2024 9:59,
78084640,Corn_1314_7_2024-09-26_171301_15895.grc,1,9/26/2024 17:37,
78084640,Corn_1314_7_2024-09-26_171301_15895.grc,2,9/26/2024 18:01,
78084531,Soybeans_1308.09S_16_2024-10-01_182728_15895.grc,1,10/1/2024 18:56,
78084531,Soybeans_1308.09S_16_2024-10-01_182728_15895.grc,2,10/1/2024 19:19,
78084531,Soybeans_1308.09S_16_2024-10-01_182728_15895.grc,3,10/2/2024 8:01,
78084530,Soybeans_1861_14_2024-10-01_152713_15895.grc,1,10/1/2024 16:16,
78084526,Soybeans_1793_12_2024-09-30_122522_15895.grc,7,9/30/2024 15:41,
78084526,Soybeans_1793_12_2024-09-30_122522_15895.grc,9,9/30/2024 16:43,
78084526,Soybeans_1793_12_2024-09-30_122522_15895.grc,18,10/1/2024 9:59,
78084521,Corn_1314_7_2024-09-26_171301_15895.grc,1,9/26/2024 17:37,
78084521,Corn_1314_7_2024-09-26_171301_15895.grc,2,9/26/2024 18:01,
